,Name,Lyrics
32,breathe,"

i see your face in my mind as i drive away
'cause none of us thought it was gonna end that way.
people are people, and sometimes we change our minds.
but it's killing me to see you go after all this time.

music starts playin' like the end of a sad movie.
it's the kinda ending you don't really wanna see.
'cause it's tragedy and it'll only bring you down.
now i don't know what to be without you around.

and we know it's never simple, never easy,
never a clean break. no one here to save me.
you're the only thing i know like the back of my hand.

and i can't breathe without you
but i have to.
breathe without you
but i have to.

never wanted this, never wanna see you hurt.
every little bump in the road i tried to swerve.
people are people, and sometimes it doesn't work out.
nothing we say is gonna save us from the fallout.

and we know it's never simple, never easy,
never a clean break. no one here to save me.
you're the only thing i know like the back of my hand.

and i can't breathe without you
but i have to.
breathe without you
but i have to.

it's two am.
feelin' like i just lost a friend.
hope you know it's not easy, easy for me.
it's two am.
feelin' like i just lost a friend.
hope you know this ain't easy, easy for me.

and we know it's never simple, never easy,
never a clean break. no one here to save me.

i can't breathe without you
but i have to.
breathe without you
but i have to.

breathe without you
but i have to.

i'm sorry.
i'm sorry.
i'm sorry.
i'm sorry.
i'm sorry.
i'm sorry.
i'm sorry
"
33,tell me why,"

i took a chance, i took a shot
and you might think i'm bulletproof, but i'm not
you took a swing, i took it hard
and down here from the ground i see who you are

i'm sick and tired of your attitude
i'm feeling like i don't know you
you tell me that you love me then you cut me down
and i need you like a heartbeat
but you know you got a mean streak
makes me run for cover when you're around
and here's to you and your temper
yes, i remember what you said last night
and i know that you see what you're doing to me
tell me why

you could write a book on how to ruin someone's perfect day
well i get so confused and frustrated
forget what i'm trying to say, oh

i'm sick and tired of your reasons
i got no one to believe in
you tell me that you want me, then push me around
and i need you like a heartbeat
but you know you got a mean streak
makes me run for cover when you're around
here's to you and your temper
yes, i remember what you said last night
and i know that you see what you're doing to me
tell me why…

why…do you have to make me feel small
so you can feel whole inside
why…do you have to put down my dreams
so you're the only thing on my mind

i'm sick and tired of your attitude
i'm feeling like i don't know you
you tell me that you want me then cut me down
i'm sick and tired of your reasons
i've got no one to believe in
you ask me for my love then you push me around
here's to you and your temper
yes, i remember what you said last night
and i know that you see what you're doing to me
tell me why
why, tell me why

i take a step back, let you go
i told you i'm not bulletproof
now you know
"
34,you're not sorry,"

all this time i was wasting
hoping you would come around
i've been giving out chances every time
and all you do is let me down
and it's taken me this long
baby but i figured you out
and you're thinking we'll be fine again
but not this time around

you don't have to call anymore
i won't pick up the phone
this is the last straw
don't wanna hurt anymore
and you can tell me that you're sorry
but i don't believe you baby
like i did before
you're not sorry... no, no, no, no

you are looking so innocent
i might believe you if i didn't know
could've loved you all my life
if you hadn't left me waiting in the cold
and you got your share of secrets
and i'm tired of being last to know
and now you're asking me to listen
cause it's worked each time before

but you don't have to call anymore
i won't pick up the phone
this is the last straw
don't wanna hurt anymore
and you can tell me that you're sorry
but i don't believe you baby
like i did before
you're not sorry... no, no, no

you're not sorry... no, no, no

you had me crawling for you honey
and it never would've gone away, no
you used to shine so bright
but i watched all of it fade

so you don't have to call anymore
i won't pick up the phone
this is the last straw
there's nothing left to beg for
and you can tell me that you're sorry
but i don't believe you baby
like i did before
you're not sorry... no, no, no

you're not sorry... no, no, no
no, no, no, no
no, no, no, no
no, no, no, no
"
35,the way i loved you,"

he is sensible and so incredible 
and all my single friends are jealous 
he says everything i need to hear and it's like 
i couldn't ask for anything better 
he opens up my door and i get into his car 
and he says you look beautiful tonight 
and i feel perfectly fine 

but i miss screaming and fighting and kissing in the rain 
and it's 2am and i'm cursing your name 
you're so in love that you act insane 
and that's the way i loved you 
breakin' down and coming undone 
it's a roller coaster kinda rush 
and i never knew i could feel that much 
and that's the way i loved you 

he respects my space 
and never makes me wait 
and he calls exactly when he says he will 
he's close to my mother 
talks business with my father 
he's charming and endearing 
and i'm comfortable 

but i miss screaming and fighting and kissing in the rain 
and it's 2am and i'm cursing your name 
you're so in love that you act insane 
and that's the way i loved you 
breakin' down and coming undone 
it's a roller coaster kinda rush 
and i never knew i could feel that much 
and that's the way i loved you 

he can't see the smile i'm faking 
and my heart's not breaking 
cause i'm not feeling anything at all 
and you were wild and crazy 
just so frustrating intoxicating 
complicated, got away by some mistake and now 

i miss screaming and fighting and kissing in the rain 
it's 2am and i'm cursing your name 
i'm so in love that i acted insane 
and that's the way i loved you 
breaking down and coming undone 
it's a roller coaster kinda rush 
and i never knew i could feel that much 
and that's the way i loved you oh, oh 

and that's the way i loved you oh, oh 
never knew i could feel that much 
and that's the way i loved you
"
36,forever & always,"

once upon a time,
i believe it was a tuesday when i caught your eye
and we caught onto something
i hold onto the night,
you looked me in the eye
and told me you loved me

were you just kidding?
'cause it seems to me, this thing is breaking down
we almost never speak
i don't feel welcome anymore
baby, what happened, please tell me?
'cause one second it was perfect, now you're half way out the door

and i stare at the phone,
he still hasn't called
and then you feel so low you can't feel nothing at all
and you flashback to when he said forever and always
oh, and it rains in your bedroom
everything is wrong
it rains when you're here and it rains when you're gone
'cause i was there when you said forever and always

was i out of line?
did i say something way too honest?
made you run and hide
like a scared little boy?
i looked into your eyes
thought i knew you for a minute, now i'm not so sure

so here's to everything
coming down to nothing
here's to silence
that cuts me to the core
where is this going?
thought i knew for a minute, but i don't anymore

and i stare at the phone,
he still hasn't called
and then you feel so low, you can't feel nothing at all
and you flashback to when he said forever and always
oh, and it rains in your bedroom
everything is wrong
it rains when you're here and it rains when you're gone
'cause i was there when you said forever and always

you didn't mean it, baby,
i don't think so

back up, baby, back up
did you forget everything?
back up, baby, back up
did you forget everything?

'cause it rains in your bedroom
everything is wrong
it rains when you're here and it rains when you're gone
'cause i was there when you said forever and always

oh, i stare at the phone,
he still hasn't called
and then you feel so low
you can't feel nothing at all
and you flashback to when we said forever and always

and it rains in your bedroom
everything is wrong
it rains when you're here and it rains when you're gone
'cause i was there when you said forever and always

you didn't mean it, baby,
you said forever and always... yeah
"
37,the best day,"

i'm five years old
it's getting cold
i've got my big coat on

i hear your laugh
and look up smiling at you
i run and run

past the pumpkin patch
and the tractor rides
look now -- the sky is gold

i hug your legs
and fall asleep
on the way home

i don't know why all the trees change in the fall
i know you're not scared of anything at all
don't know if snow white's house is near or far away
but i know i had the best day
with you today

i'm thirteen now
and don't know how
my friends could be so mean

i come home crying
and you hold me tight
and grab the keys

and we drive and drive
until we've found a town
far enough away

and we talk
and window-shop
'til i've forgotten all their names

i don't know who i'm gonna talk to now at school
i know i'm laughing on the car ride home with you
don't know how long it's gonna take to feel okay
but i know i had the best day
with you today

i have an excellent father
his strength is making me stronger
god smiles on my little brother
inside and out he's better than i am

i grew up in a pretty house
and i had space to run
and i had the best days with you

there is a video i found from back when i was three
you set up a paint set in the kitchen and you're talking to me

it's the age of princesses and pirate ships and the seven dwarfs
and daddy's smart and you're the prettiest lady in the whole wide world

and now i know why all the trees change in the fall
i know you were on my side even when i was wrong

and i love you for giving me your eyes
for staying back and watching me shine

and i didn't know if you knew
so i'm taking this chance to say
that i had the best day
with you today
"
38,change,"

and it’s a sad picture,
the final blow hits you
somebody else gets what you wanted again
and you know it’s all the same,
another time and place
repeating history and you’re getting sick of it

but i believe in whatever you do
and i’ll do anything to see it through

because these things will change
can you feel it now?
these walls that they put up to hold us back will fall down
this revolution, the time will come
for us to finally win
and we’ll sing hallelujah, we’ll sing hallelujah

so we’ve been outnumbered
raided and now cornered
it’s hard to fight when the fight ain’t fair
we’re getting stronger now
find things they never found
they might be bigger
but we’re faster and never scared

you can walk away, say we don’t need this
but there’s something in your eyes says we can beat this

'cause these things will change
can you feel it now?
these walls that they put up to hold us back will fall down
this revolution, the time will come
for us to finally win
and we’ll sing hallelujah, we'll sing hallelujah

tonight we'll stand, get off our knees
fight for what we’ve worked for all these years
and the battle was long, it’s the fight of our lives
but we’ll stand up champions tonight

it was the night things changed
can you see it now?
these walls that they put up to hold us back fell down
this revolution, throw your hands up
'cause we never gave in
and we'll sing hallelujah, we sang hallelujah
hallelujah
"
39,mine,"

you were in college working part time waiting tables,
left a small town, never looked back.
i was a flight risk with a fear of fallin'
wondering why we bother with love if it never lasts.

i say, ""can you believe it?""
as we're lying on the couch
the moment i can see it.
yes, yes, i can see it now.

do you remember, we were sitting there by the water?
you put your arm around me for the first time.
you made a rebel of a careless man's careful daughter.
you are the best thing that's ever been mine.

flash forward and we're taking on the world together,
and there's a drawer of my things at your place.
you learn my secrets and you figure out why i'm guarded,
you say we'll never make my parents' mistakes.

but we got bills to pay,
we got nothing figured out,
when it was hard to take,
yes, yes, this is what i thought about.

do you remember, we were sitting there by the water?
you put your arm around me for the first time.
you made a rebel of a careless man's careful daughter.
you are the best thing that's ever been mine.

do you remember all the city lights on the water?
you saw me start to believe for the first time.
you made a rebel of a careless man's careful daughter.
you are the best thing that's ever been mine.

and i remember that fight,
two-thirty am,
as everything was slipping right out of our hands.
i ran out crying and you followed me out into the street.
braced myself for the ""goodbye""
'cause that's all i've ever known.
then you took me by surprise.
you said, ""i'll never leave you alone.""

you said, ""i remember how we felt sitting by the water.
and every time i look at you, it's like the first time.
i fell in love with a careless man's careful daughter.
she is the best thing that's ever been mine.""

hold on, make it last.
hold on, never turn back.

(hold on)
you made a rebel of a careless man's careful daughter
(hold on)
you are the best thing that's ever been mine.

(hold on)
do you believe it?
(hold on)
we're gonna make it now.
(hold on)
and i can see it,
(yes, yes)
i can see it now (see it now, see it now)
"
40,sparks fly,"

the way you move is like a full-on rainstorm
and i'm a house of cards
you're the kind of reckless
that should send me runnin'
but i kinda know that i won't get far
and you stood there in front of me
just close enough to touch
close enough to hope you couldn't see
what i was thinking of

drop everything now
meet me in the pouring rain
kiss me on the sidewalk
take away the pain
'cause i see sparks fly whenever you smile
get me with those green eyes, baby, as the lights go down
give me something that'll haunt me when you're not around
'cause i see sparks fly whenever you smile

my mind forgets to remind me
you're a bad idea
you touch me once and it's really something,
you find i'm even better than you imagined i would be.
i'm on my guard for the rest of the world
but with you i know it's no good
and i could wait patiently but i really wish you would...

drop everything now
meet me in the pouring rain
kiss me on the sidewalk
take away the pain
'cause i see sparks fly whenever you smile
get me with those green eyes, baby, as the lights go down
give me something that'll haunt me when you're not around
'cause i see sparks fly whenever you smile

i'll run my fingers through your hair and watch the lights go wild.
just keep on keeping your eyes on me, it's just wrong enough to make it feel right.
and lead me up the staircase
won't you whisper soft and slow?
i'm captivated by you, baby, like a firework show.

drop everything now,
meet me in the pouring rain,
kiss me on the sidewalk,
take away the pain
'cause i see sparks fly whenever you smile.
get me with those green eyes, baby, as the lights go down
give me something that'll haunt me when you're not around
'cause i see sparks fly whenever you smile

and the sparks fly...
oh, baby, smile...
and the sparks fly...
"
41,back to december,"

i'm so glad you made time to see me.
how's life? tell me how's your family?
i haven't seen them in a while.

you've been good, busier than ever.
we small-talk, work and the weather.
your guard is up and i know why.

because the last time you saw me is still burned in the back of your mind.
you gave me roses and i left them there to die.

so this is me swallowing my pride,
standing in front of you, saying, ""i'm sorry for that night,""
and i go back to december all the time.

it turns out freedom ain't nothing but missing you.
wishing i'd realized what i had when you were mine.
i'd go back to december, turn around and make it all right.
i go back to december all the time.

these days i haven't been sleeping,
staying up, playing back myself leavin'.
when your birthday passed and i didn't call.

and i think about summer, all the beautiful times,
i watched you laughing from the passenger side.
and realized i loved you in the fall.

and then the cold came, the dark days when fear crept into my mind
you gave me all your love and all i gave you was ""goodbye"".

so this is me swallowing my pride,
standing in front of you, saying, ""i'm sorry for that night.""
and i go back to december all the time.

it turns out freedom ain't nothing but missing you.
wishing i'd realized what i had when you were mine.
i'd go back to december, turn around and change my own mind.
i go back to december all the time.

i miss your tanned skin, your sweet smile.
so good to me, so right.
and how you held me in your arms that september night:
the first time you ever saw me cry.

maybe this is wishful thinking,
probably mindless dreaming,
but if we loved again, i swear i'd love you right.

i'd go back in time and change it but i can't.
so if the chain is on your door i understand.

but this is me swallowing my pride,
standing in front of you, saying, ""i'm sorry for that night.""
and i go back to december.

it turns out freedom ain't nothing but missing you.
wishing i'd realized what i had when you were mine.
i'd go back to december, turn around and make it all right.
i'd go back to december, turn around and change my own mind

i go back to december all the time.
all the time.
"
42,speak now,"

i am not the kind of girl
who should be rudely barging in on a white veil occasion
but you are not the kind of boy
who should be marrying the wrong girl

i sneak in and see your friends
and her snotty little family all dressed in pastel
and she is yelling at a bridesmaid
somewhere back inside a room
wearing a gown shaped like a pastry

this is surely not what you thought it would be
i lose myself in a daydream
where i stand and say

[chorus:]
don’t say ""yes"", run away now
i’ll meet you when you’re out of the church at the back door
don’t wait or say a single vow
you need to hear me out
and they said, ""speak now.""

fond gestures are exchanged
and the organ starts to play
a song that sounds like a death march
and i am hiding in the curtains
it seems that i was uninvited by your lovely bride-to-be

she floats down the aisle like a pageant queen
but i know you wish it was me,
you wish it was me,
don’t you?

[chorus:]
don’t say ""yes"", run away now,
i’ll meet you when you’re out of the church at the back door.
don’t wait or say a single vow,
you need to hear me out,
and they said, ""speak now.""
don’t say ""yes"", run away now,
i’ll meet you when you’re out of the church at the back door.
don’t wait or say a single vow,
your time is running out,
and they said, ""speak now.""

oh, la, la
oh, oh
say a single vow

i hear the preacher say, ""speak now or forever hold your peace.""
there’s the silence, there’s my last chance.
i stand up with shaky hands, all eyes on me.
horrified looks from everyone in the room
but i’m only looking at you.

i am not the kind of girl
who should be rudely barging in on a white veil occasion
but you are not the kind of boy
who should be marrying the wrong girl

[chorus:]
so, don’t say ""yes"", run away now,
i’ll meet you when you’re out of the church at the back door.
don’t wait or say a single vow,
you need to hear me out,
and they said, ""speak now.""
and you say, ""let’s run away now,
i’ll meet you when i’m out of my tux at the back door.
baby, i didn’t say my vows,
so glad you were around
when they said, ""speak now.""
"
43,dear john,"

long were the nights
when my days once revolved around you
counting my footsteps
praying the floor won't fall through
again

and my mother accused me of losing my mind
but i swore i was fine

you paint me a blue sky
and go back and turn it to rain
and i lived in your chess game
but you changed the rules every day

wonderin' which version of you i might get on the phone tonight.
well, i stopped pickin' up, and this song is to let you know why.

dear john,
i see it all now that you're gone.
don't you think i was too young to be messed
with?
the girl in the dress
cried the whole way home.
i should've known.

well, maybe it's me
and my blind optimism
to blame.
or maybe it's you and your sick need
to give love then take it away.

and you'll add my name
to your long list of traitors
who don't understand.
and i look back in regret.
how i ignored when they said,
""run as fast as you can.""

dear john,
i see it all now that you're gone.
don't you think i was too young to be messed
with?
the girl in the dress
cried the whole way home.

dear john,
i see it all now. it was wrong.
don't you think nineteen's too young to be played
by your dark twisted games?
when i loved you so.
i should've known.

you are an expert at ""sorry""
and keeping lines blurry.
never impressed by me acing your tests.
all the girls that you've run dry
have tired lifeless eyes
'cause you've burned them out.

but i took your matches
before fire could catch me.
so, don't look now.
i'm shining like fireworks
over your sad empty town.

dear john,
i see it all now that you're gone.
don't you think i was too young to be messed
with?
the girl in the dress
cried the whole way home.

i see it all now that you're gone
don't you think i was too young to be messed
with?
the girl in the dress
wrote you a song.
you should've known.

you should've known.
don't you think i was too young?
you should've known.
"
44,mean,"

you, with your words like knives
and swords and weapons that you use against me
you have knocked me off my feet again
got me feeling like a nothing
you, with your voice like nails on a chalkboard
calling me out when i'm wounded
you, picking on the weaker man

well you can take me down with just one single blow
but you don't know, what you don't know...

someday i'll be living in a big old city
and all you're ever gonna be is mean
someday i'll be big enough so you can't hit me
and all you're ever gonna be is mean
why you gotta be so mean?

you, with your switching sides
and your wildfire lies and your humiliation
you have pointed out my flaws again
as if i don't already see them
i walk with my head down
trying to block you out 'cause i'll never impress you
i just wanna feel okay again

i bet you got pushed around
somebody made you cold
but the cycle ends right now
'cause you can't lead me down that road
and you don't know, what you don't know...

someday i'll be living in a big old city
and all you're ever gonna be is mean
someday i'll be big enough so you can't hit me
and all you're ever gonna be is mean
why you gotta be so mean?

and i can see you years from now in a bar
talking over a football game
with that same big loud opinion
but nobody's listening
washed up and ranting about the same old bitter things
drunk and grumbling on about how i can't sing
but all you are is mean

all you are is mean
and a liar, and pathetic, and alone in life
and mean, and mean, and mean, and mean

but someday i'll be living in a big old city
and all you're ever gonna be is mean, yeah
someday i'll be big enough so you can't hit me
and all you're ever gonna be is mean
why you gotta be so?...

someday i'll be living in a big old city (why you gotta be so?...)
and all you're ever gonna be is mean (why you gotta be so?...)
someday i'll be big enough so you can't hit me (why you gotta be so?...)
and all you're ever gonna be is mean
why you gotta be so mean?
"
45,the story of us,"

i used to think one day we'd tell the story of us,
how we met and the sparks flew instantly,
and people would say, ""they're the lucky ones.""
i used to know my place was the spot next to you.
now i'm searching the room for an empty seat,
'cause lately i don't even know what page you're on.

oh, a simple complication,
miscommunications lead to fall-out.
so many things that i wish you knew.
so many walls up i can't break through.

now i'm standing alone in a crowded room and we're not speaking.
and i'm dying to know is it killing you like it's killing me, yeah?
i don't know what to say, since the twist of fate when it all broke down,
and the story of us looks a lot like a tragedy now.

next chapter.

how'd we end up this way?
see me nervously pulling at my clothes and trying to look busy,
and you're doing your best to avoid me.
i'm starting to think one day i'll tell the story of us,
how i was losing my mind when i saw you here,
but you held your pride like you should've held me.

oh, i'm scared to see the ending,
why are we pretending this is nothing?
i'd tell you i miss you but i don't know how.
i've never heard silence quite this loud.

now i'm standing alone in a crowded room and we're not speaking.
and i'm dying to know is it killing you like it's killing me, yeah?
i don't know what to say, since the twist of fate when it all broke down,
and the story of us looks a lot like a tragedy now.

this is looking like a contest
of who can act like they care less,
but i liked it better when you were on my side.

the battle's in your hands now,
but i would lay my armour down
if you said you'd rather love than fight.

so many things that you wish i knew,
but the story of us might be ending soon.

now i'm standing alone in a crowded room and we're not speaking.
and i'm dying to know is it killing you like it's killing me, yeah?
but i don't know what to say, since the twist of fate when it all broke down,
and the story of us looks a lot like a tragedy now, now, now.

...and we're not speaking.
and i'm dying to know is it killing you like it's killing me, yeah?
i don't know what to say, since the twist of fate 'cause we're going down,
and the story of us looks a lot like a tragedy now.

the end.
"
46,never grow up,"

your little hand's wrapped around my finger
and it's so quiet in the world tonight
your little eyelids flutter cause you're dreaming
so i tuck you in, turn on your favorite night light
to you everything's funny, you got nothing to regret
i'd give all i have, honey
if you could stay like that

oh darling, don't you ever grow up
don't you ever grow up, just stay this little
oh darling, don't you ever grow up
don't you ever grow up, it could stay this simple
i won't let nobody hurt you, won't let no one break your heart
and no one will desert you
just try to never grow up, never grow up

you're in the car on the way to the movies
and you're mortified your mom's dropping you off
at 14 there's just so much you can't do
and you can't wait to move out someday and call your own shots
but don't make her drop you off around the block
remember that she's getting older too
and don't lose the way that you dance around in your pj's getting ready for school

oh darling, don't you ever grow up
don't you ever grow up, just stay this little
oh darling, don't you ever grow up
don't you ever grow up, it could stay this simple
no one's ever burned you, nothing's ever left you scarred
and even though you want to, just try to never grow up

take pictures in your mind of your childhood room
memorize what it sounded like when your dad gets home
remember the footsteps, remember the words said
and all your little brother's favorite songs
i just realized everything i have is someday gonna be gone

so here i am in my new apartment
in a big city, they just dropped me off
it's so much colder than i thought it would be
so i tuck myself in and turn my night light on

wish i'd never grown up
i wish i'd never grown up

oh i don't wanna grow up, wish i'd never grown up
i could still be little
oh i don't wanna grow up, wish i'd never grown up
it could still be simple
oh darling, don't you ever grow up
don't you ever grow up, just stay this little
oh darling, don't you ever grow up
don't you ever grow up, it could stay this simple
won't let nobody hurt you
won't let no one break your heart
and even though you want to, please try to never grow up
oh, don't you ever grow up
oh, never grow up, just never grow up
"
47,enchanted,"

there i was again tonight
forcing laughter, faking smiles
same old tired lonely place

walls of insincerity,
shifting eyes and vacancy
vanished when i saw your face

all i can say is it was enchanting to meet you

your eyes whispered, ""have we met?""
across the room your silhouette
starts to make its way to me
the playful conversation starts
counter all your quick remarks
like passing notes in secrecy

and it was enchanting to meet you
all i can say is i was enchanted to meet you

this night is sparkling, don't you let it go
i'm wonderstruck, blushing all the way home
i'll spend forever wondering if you knew
i was enchanted to meet you

the lingering question kept me up
2 am, who do you love?
i wonder 'til i'm wide awake
and now i'm pacing back and forth
wishing you were at my door
i'd open up and you would say, ""hey,
it was enchanting to meet you,
all i know is i was enchanted to meet you.""

this night is sparkling, don't you let it go
i'm wonderstruck, blushing all the way home
i'll spend forever wondering if you knew
this night is flawless, don't you let it go
i'm wonderstruck, dancing around all alone
i'll spend forever wondering if you knew
i was enchanted to meet you

this is me praying that
this was the very first page
not where the story line ends
my thoughts will echo your name
until i see you again
these are the words i held back
as i was leaving too soon
i was enchanted to meet you

please don't be in love with someone else
please don't have somebody waiting on you
please don't be in love with someone else
please don't have somebody waiting on you

this night is sparkling, don't you let it go
i'm wonderstruck, blushing all the way home
i'll spend forever wondering if you knew
this night is flawless, don't you let it go
i'm wonderstruck, dancing around all alone
i'll spend forever wondering if you knew
i was enchanted to meet you

please don't be in love with someone else
please don't have somebody waiting on you
"
48,better than revenge,"

""now go stand in the corner and think about what you did.""

time for a little revenge

the story starts when it was hot and it was summer and...
i had it all, i had him right there where i wanted him
she came along, got him alone and let's hear the applause
she took him faster than you could say ""sabotage""

i never saw it coming, wouldn't have suspected it
i underestimated just who i was dealing with
she had to know the pain was beating on me like a drum
she underestimated just who she was stealing from

she's not a saint
and she's not what you think
she's an actress
she's better known
for the things that she does on the mattress

soon she's gonna find
stealing other people's toys
on the playground won't make you many friends
she should keep in mind
she should keep in mind
there is nothing i do better than revenge

she looks at life like it's a party and she's on the list
she looks at me like i'm a trend and she's so over it
i think her ever-present frown is a little troubling
she thinks i'm psycho 'cause i like to rhyme her name with things

but sophistication isn't what you wear or who you know
or pushing people down to get you where you wanna go
they wouldn't teach you that in prep school so it's up to me
but no amount of vintage dresses gives you dignity

she's not a saint
and she's not what you think
she's an actress
she's better known
for the things that she does
on the mattress

soon she's gonna find
stealing other people's toys
on the playground won't make you many friends
she should keep in mind
she should keep in mind
there is nothing i do better than revenge

i'm just another thing for you to roll your eyes at, honey
you might have him but haven't you heard
i'm just another thing for you to roll your eyes at, honey
you might have him but i always get the last word

she's not a saint
and she's not what you think
she's an actress
(she deserve it)
she's better known
for the things that she does on the mattress

soon she's gonna find
stealing other people's toys
on the playground won't make you many friends
she should keep in mind
she should keep in mind
there is nothing i do better than revenge

do you still feel like you know what you're doing?
'cause i don't think you do.
do you still feel like you know what you're doing?
i don't think you do
i don't think you do

let's hear the applause
come on show me how much better you are
(so much better, yeah?)
so you deserve some applause 'cause you're so much better

she took him faster than you could say ""sabotage""
"
49,innocent,"

i guess you really did it this time
left yourself in your warpath
lost your balance on a tightrope
lost your mind tryin' to get it back

wasn't it easier in your lunchbox days?
always a bigger bed to crawl into
wasn't it beautiful when you believed in everything
and everybody believed in you?

it's alright, just wait and see
your string of lights is still bright to me
oh, who you are is not where you've been
you're still an innocent
you're still an innocent

did some things you can't speak of
but at night you live it all again
you wouldn't be shattered on the floor now
if only you had seen what you know now then

wasn't it easier in your firefly-catchin' days?
when everything out of reach
someone bigger brought down to you
wasn't it beautiful runnin' wild 'til you fell asleep
before the monsters caught up to you?

it's alright, just wait and see
your string of lights is still bright to me
oh, who you are is not what you've been
you're still an innocent
it's okay, life is a tough crowd
32, and still growin' up now
who you are is not what you did
you're still an innocent

time turns flames to embers
you'll have new septembers
every one of us has messed up too
minds change like the weather
i hope you remember
today is never too late to be brand new

it's alright, just wait and see
your string of lights is still bright to me
oh, who you are is not what you've been
you're still an innocent
it's okay, life is a tough crowd
32, and still growin' up now
who you are is not what you did
you're still an innocent
you're still an innocent

lost your balance on a tightrope
it's never too late to get it back
"
50,haunted,"

you and i walk a fragile line
i have known it all this time
but i never thought i'd live to see it break
it's getting dark and it's all too quiet
and i can't trust anything now
and it's coming over you like it's all a big mistake

oh, i'm holding my breath
won't lose you again
something's made your eyes go cold

come on, come on, don't leave me like this
i thought i had you figured out
something's gone terribly wrong
you're all i wanted
come on, come on, don't leave me like this
i thought i had you figured out
can't breathe whenever you're gone
can't turn back now, i'm haunted

stood there and watched you walk away
from everything we had
but i still mean every word i said to you
he will try to take away my pain
and he just might make me smile
but the whole time i'm wishing he was you instead

oh, i'm holding my breath
won't see you again
something keeps me holding on to nothing

come on, come on, don't leave me like this
i thought i had you figured out
something's gone terribly wrong
you're all i wanted
come on, come on, don't leave me like this
i thought i had you figured out
can't breathe whenever you're gone
can't turn back now, i'm haunted

i know, i know, i just know
you're not gone. you can't be gone. no.

come on, come on, don't leave me like this
i thought i had you figured out
something's gone terribly wrong
won't finish what you started
come on, come on, don't leave me like this
i thought i had you figured out
can't breathe whenever you're gone
can't go back, i'm haunted

oh

you and i walk a fragile line
i have known it all this time
never ever thought i'd see it break.
never thought i'd see it...
"
51,last kiss,"

i still remember the look on your face
lit through the darkness at 1:58
the words that you whispered
for just us to know
you told me you loved me
so why did you go away?
away

i do recall now the smell of the rain
fresh on the pavement
i ran off the plane
that july 9th
the beat of your heart
it jumps through your shirt
i can still feel your arms

but now i'll go sit on the floor
wearing your clothes
all that i know is
i don't know how to be something you miss
i never thought we'd have a last kiss
never imagined we'd end like this
your name, forever the name on my lips

i do remember the swing of your step
the life of the party, you're showing off again
and i roll my eyes and then
you pull me in
i'm not much for dancing
but for you i did

because i love your handshake, meeting my father
i love how you walk with your hands in your pockets
how you kissed me when i was in the middle of saying something
there's not a day i don't miss those rude interruptions

and i'll go sit on the floor
wearing your clothes
all that i know is
i don't know how to be something you miss
never thought we'd have a last kiss
never imagined we'd end like this
your name, forever the name on my lips

so i'll watch your life in pictures like i used to watch you sleep
and i feel you forget me like i used to feel you breathe
and i keep up with our old friends just to ask them how you are
hope it's nice where you are

and i hope the sun shines
and it's a beautiful day
and something reminds you
you wish you had stayed
you can plan for a change in weather and time
but i never planned on you changing your mind

so i'll go sit on the floor
wearing your clothes
all that i know is
i don't know how to be something you miss
never thought we'd have a last kiss
never imagined we'd end like this
your name, forever the name on my lips

just like our last kiss
forever the name on my lips
forever the name on my lips

just like our last...
"
52,long live,"

i said remember this moment
in the back of my mind
the time we stood with our shaking hands
the crowds in stands went wild

we were the kings and the queens
and they read off our names
the night you danced like you knew
our lives would never be the same

you held your head like a hero
on a history book page
it was the end of a decade
but the start of an age

long live the walls we crashed through
how the kingdom lights shined just for me and you
i was screaming long live all the magic we made
and bring on all the pretenders
one day, we will be remembered

i said remember this feeling
i pass the pictures around
of all the years that we stood there
on the side-lines wishing for right now

we are the kings and the queens
you traded your baseball cap for a crown
when they gave us our trophies
and we held them up for our town

and the cynics were outraged
screaming, ""this is absurd!""
'cause for a moment a band of thieves
in ripped-up jeans got to rule the world

long live the walls we crashed through
how the kingdom lights shined just for me and you
i was screaming long live all the magic we made
and bring on all the pretenders
i'm not afraid

long live all the mountains we moved
i had the time of my life fighting dragons with you
i was screaming long live that look on your face
and bring on all the pretenders
one day, we will be remembered

hold on to spinning around
confetti falls to the ground
may these memories break our fall

will you take a moment,
promise me this
that you'll stand by me forever
but if god forbid fate should step in

and force us into a goodbye
if you have children some day
when they point to the pictures
please tell them my name

tell them how the crowds went wild
tell them how i hope they shine

long live the walls we crashed through
i had the time of my life, with you

long, long live the walls we crashed through
how the kingdom lights shined just for me and you
and i was screaming long live all the magic we made
and bring on all the pretenders
i'm not afraid

singing, long live all the mountains we moved
i had the time of my life fighting dragons with you
and long, long live that look on your face
and bring on all the pretenders
one day, we will be remembered
"
